state,total_enrolments,total_demo_updates,total_bio_updates,total_updates,total_system_load,population,avg_daily_load,update_percentage,load_per_capita
Andaman & Nicobar,511.0,617.0,11806.0,12423.0,12934.0,397000,126.80392156862744,96.0491727230555,0.03257934508816121
Andhra Pradesh,127686.0,321148.0,2241467.0,2562615.0,2690301.0,49577103,25143.0,95.25383962612362,0.05426499002977241
Arunachal Pradesh,4344.0,5783.0,42894.0,48677.0,53021.0,1570458,504.96190476190475,91.80701986005545,0.03376148868673979
Assam,230197.0,84480.0,596624.0,681104.0,911301.0,34293000,8437.972222222223,74.7397402175571,0.02657396553232438
Bihar,609585.0,380023.0,2208141.0,2588164.0,3197749.0,121243000,28808.54954954955,80.93705916255466,0.02637471029255297
Chandigarh,2723.0,13133.0,49171.0,62304.0,65027.0,1158000,619.3047619047619,95.81250865025297,0.056154576856649395
Chhattisgarh,103219.0,165207.0,884555.0,1049762.0,1152981.0,28724000,10775.523364485982,91.047640854446,0.04013998746692661
Dadra & Nagar Haveli and Daman & Diu,1799.0,1923.0,16362.0,18285.0,20084.0,615000,193.1153846153846,91.0426209918343,0.03265691056910569
Delhi,94529.0,175535.0,556237.0,731772.0,826301.0,20667656,7650.935185185185,88.55997995887697,0.03998039255153076
Goa,2333.0,3275.0,34244.0,37519.0,39852.0,1586250,383.1923076923077,94.14583960654421,0.02512340425531915
Gujarat,280549.0,208474.0,1460655.0,1669129.0,1949678.0,66750000,18052.574074074073,85.61049568185105,0.029208659176029963
Haryana,98252.0,139314.0,693667.0,832981.0,931233.0,28204000,8703.11214953271,89.44925706026311,0.03301776343781024
Himachal Pradesh,17486.0,19424.0,191566.0,210990.0,228476.0,7503000,2175.961904761905,92.34667973879095,0.030451286152205784
Jammu and Kashmir,49096.0,57873.0,420349.0,478222.0,527318.0,14999397,4974.698113207547,90.68948907490358,0.03515594660238675
Jharkhand,157539.0,99376.0,876613.0,975989.0,1133528.0,36480000,10593.719626168224,86.10188720525652,0.031072587719298245
Karnataka,223235.0,264981.0,1244999.0,1509980.0,1733215.0,66165000,16048.287037037036,87.1201783967944,0.02619534497090607
Kerala,75002.0,61064.0,647939.0,709003.0,784005.0,35125000,7396.273584905661,90.43347937832029,0.022320427046263344
Ladakh,617.0,1375.0,2809.0,4184.0,4801.0,316000,47.53465346534654,87.14851072693189,0.015193037974683543
Lakshadweep,203.0,170.0,2226.0,2396.0,2599.0,73183,26.520408163265305,92.18930357829935,0.03551371220092098
Madhya Pradesh,493970.0,407098.0,3200117.0,3607215.0,4101185.0,82232000,37283.5,87.95543239332046,0.04987334614262088
Maharashtra,369139.0,273322.0,3512712.0,3786034.0,4155173.0,123144000,37774.3,91.11615809979511,0.03374239102189307
Manipur,13456.0,41464.0,166465.0,207929.0,221385.0,3091545,2088.5377358490564,93.9219007611175,0.07160982615488372
Meghalaya,109771.0,8426.0,36531.0,44957.0,154728.0,3366710,1369.274336283186,29.05550385192079,0.045958220339738204
Mizoram,5926.0,5302.0,85531.0,90833.0,96759.0,1239244,921.5142857142857,93.87550512097066,0.07807905464944756
Nagaland,15587.0,4314.0,32561.0,36875.0,52462.0,2157059,494.92452830188677,70.28897106477069,0.024321077912101616
Odisha,122987.0,147499.0,1211389.0,1358888.0,1481875.0,45429000,13979.952830188678,91.70058203289751,0.032619582205199324
Puducherry,3017.0,4696.0,27046.0,31742.0,34759.0,1413542,331.03809523809525,91.32023360856181,0.02459000157052284
Punjab,76746.0,56866.0,700157.0,757023.0,833769.0,30141373,7720.083333333333,90.79529222122675,0.027661944928653384
Rajasthan,348458.0,257224.0,2066747.0,2323971.0,2672429.0,79502477,24975.971962616823,86.96100064772536,0.03361441178744657
Sikkim,2207.0,1555.0,11932.0,13487.0,15694.0,682000,152.36893203883494,85.93730087931694,0.023011730205278594
Tamil Nadu,220789.0,315638.0,2227252.0,2542890.0,2763679.0,77841000,25828.77570093458,92.0110475927197,0.035504155907555145
Telangana,131574.0,242259.0,946497.0,1188756.0,1320330.0,38705209,12455.943396226416,90.03476403626365,0.03411246274370977
Tripura,11285.0,11791.0,147535.0,159326.0,170611.0,4169794,1609.5377358490566,93.385537860982,0.04091593013947452
Uttar Pradesh,1018629.0,790308.0,6207105.0,6997413.0,8016042.0,231502578,72216.5945945946,87.29261897579877,0.034626145718342716
Uttarakhand,37698.0,49926.0,424441.0,474367.0,512065.0,11250858,4741.342592592592,92.63804399832053,0.04551341773222985
West Bengal,375340.0,242561.0,1040512.0,1283073.0,1658413.0,100896618,15499.18691588785,77.36751942971985,0.016436755095200515
