norm_state,state_mean_enrol,state_std_enrol,state_median_enrol
Andaman & Nicobar,4.8354430379746836,4.9985392218610185,4.0
Andhra Pradesh,1238.3095238095239,997.9901244916718,1286.0
Arunachal Pradesh,48.24390243902439,59.98571043330149,37.5
Assam,2461.294117647059,5935.112400796132,1355.0
Bihar,5900.034090909091,8991.86735678651,4427.0
Chandigarh,26.5,24.671295861915585,23.0
Chhattisgarh,1001.0,1070.5280759726868,913.5
Dadra & Nagar Haveli and Daman & Diu,19.91358024691358,57.70012944761567,11.0
Delhi,983.1058823529412,2301.509835818598,591.0
Goa,24.839506172839506,19.12815777206698,29.0
Gujarat,2923.964705882353,7317.9032604764525,1712.0
Haryana,990.797619047619,1272.8965051273206,847.5
Himachal Pradesh,176.17073170731706,170.01465476980223,167.5
Jammu and Kashmir,451.71084337349396,420.45928807646504,454.0
Jharkhand,1591.547619047619,1681.917690669503,1305.0
Karnataka,2169.9176470588236,2487.802095615079,1880.0
Kerala,731.4578313253012,700.9803640338957,665.0
Ladakh,5.884615384615385,5.884120760392085,5.0
Lakshadweep,2.2933333333333334,2.5562500688341143,2.0
Madhya Pradesh,4707.114942528736,7457.7892001635755,3899.0
Maharashtra,3581.0114942528735,6162.302826685273,2953.0
Manipur,142.80722891566265,202.1105383279235,113.0
Meghalaya,1193.6444444444444,4582.693507346105,318.0
Mizoram,66.21951219512195,130.1942541439705,39.0
Nagaland,183.56626506024097,590.4118486643008,80.0
Odisha,1232.0481927710844,1054.3000556792313,1179.0
Puducherry,31.402439024390244,25.388273640052056,30.0
Punjab,802.9411764705883,1189.4957750574622,649.0
Rajasthan,3537.535714285714,4008.82721619572,2868.0
Sikkim,26.1625,51.77347049247753,19.0
Tamil Nadu,2200.1428571428573,1670.9127232574256,2335.5
Telangana,1391.6506024096386,1322.2208722332077,1282.0
Tripura,109.62650602409639,111.4625290688478,98.0
Uttar Pradesh,10246.613636363636,18758.527920843182,7485.5
Uttarakhand,371.67058823529413,363.57583830072986,371.0
West Bengal,3887.75,3877.3928232024273,3831.0
West Bengli,0.0,0.0,0.0
